disciplina;professor;curso;inicio;fim;sala
Leitura e Produção de Textos;Erivelton Santana;ENGENHARIA DE SOFTWARE;10:50;11:40;SALA 01
Leitura e Produção de Textos;Erivelton Santana;ENGENHARIA DE SOFTWARE;11:40;12:30;SALA 01
Algoritmo e Lógica de Programação;Ricardo Peres;ENGENHARIA DE SOFTWARE;07:30;08:20;SALA 01
Algoritmo e Lógica de Programação;Ricardo Peres;ENGENHARIA DE SOFTWARE;08:20;09:10;SALA 01
Algoritmo e Lógica de Programação;Ricardo Peres;ENGENHARIA DE SOFTWARE;09:10;10:00;SALA 01
Algoritmo e Lógica de Programação;Ricardo Peres;ENGENHARIA DE SOFTWARE;10:00;10:50;SALA 01
Introd. à Estrutura de Dados;Artur Kronbauer;ENGENHARIA DE SOFTWARE;07:30;08:20;SALA 04
Introd. à Estrutura de Dados;Artur Kronbauer;ENGENHARIA DE SOFTWARE;08:20;09:10;SALA 04
Introd. à Estrutura de Dados;Artur Kronbauer;ENGENHARIA DE SOFTWARE;09:10;10:00;SALA 04
Introd. à Estrutura de Dados;Artur Kronbauer;ENGENHARIA DE SOFTWARE;10:00;10:50;SALA 04
Prog.Orientada aObjetos;Artur Kronbauer;ENGENHARIA DE SOFTWARE;10:50;11:40;SALA 04
Prog.Orientada aObjetos;Artur Kronbauer;ENGENHARIA DE SOFTWARE;11:40;12:30;SALA 04
Prog.Orientada aObjetos;Artur Kronbauer;ENGENHARIA DE SOFTWARE;13:30;14:20;SALA 04
Prog.Orientada aObjetos;Artur Kronbauer;ENGENHARIA DE SOFTWARE;14:20;15:10;SALA 04
Introdução à Banco de Dados;Peterson Lobato;ENGENHARIA DE SOFTWARE;09:10;10:00;SALA 08
Introdução à Banco de Dados;Peterson Lobato;ENGENHARIA DE SOFTWARE;10:00;10:50;SALA 08
Introdução à Banco de Dados;Peterson Lobato;ENGENHARIA DE SOFTWARE;10:50;11:40;SALA 08
Introdução à Banco de Dados;Peterson Lobato;ENGENHARIA DE SOFTWARE;11:40;12:30;SALA 08
Inteligência Artificial; José Roberto;ENGENHARIA DE SOFTWARE;07:30;08:20;SALA 11
Inteligência Artificial; José Roberto;ENGENHARIA DE SOFTWARE;08:20;09:10;SALA 11
Inteligência Artificial; José Roberto;ENGENHARIA DE SOFTWARE;09:10;10:00;SALA 11
Inteligência Artificial; José Roberto;ENGENHARIA DE SOFTWARE;10:00;10:50;SALA 11
Projeto de Pesquisa;Ricardo Peres;ENGENHARIA DE SOFTWARE;10:50;11:40;SALA 11
Planej. Estratégico em TI;Ricardo Peres;ENGENHARIA DE SOFTWARE;11:40;12:30;SALA 11
Matemática I;Maria de Fátima;Licenciatura em Matemática;07:30;08:20;MAT LAB AZUL
Matemática I;Maria de Fátima;Licenciatura em Matemática;08:20;09:10;MAT LAB AZUL
Matemática I;Maria de Fátima;Licenciatura em Matemática;09:10;10:00;MAT LAB AZUL
LPT I;Erivelton Santana;Licenciatura em Matemática;10:00;10:50;Sala 05
Cálculo I;Grace Baqueiro;Licenciatura em Matemática;07:30;08:20;Sala 06
Cálculo I;Grace Baqueiro;Licenciatura em Matemática;08:20;09:10;Sala 06
Cálculo I;Grace Baqueiro;Licenciatura em Matemática;09:10;10:00;Sala 06
Prática no Ensino de Funções;Maria de Fátima;Licenciatura em Matemática;10:00;10:50;MAT LAB AZUL
Prática no Ensino de Funções;Maria de Fátima;Licenciatura em Matemática;10:50;11:40;MAT LAB AZUL
Prática no Ensino de Funções;Maria de Fátima;Licenciatura em Matemática;11:40;12:30;MAT LAB AZUL
Prática no Ensino de Funções;Maria de Fátima;Licenciatura em Matemática;12:30;13:20;MAT LAB AZUL
Prática em Teoria dos Números e Álgebra;Grace Baqueiro/Eliana;Licenciatura em Matemática;07:30;08:20;Sala 10
Prática em Teoria dos Números e Álgebra;Grace Baqueiro/Eliana;Licenciatura em Matemática;08:20;09:10;Sala 10
Prática em Teoria dos Números e Álgebra;Grace Baqueiro/Eliana;Licenciatura em Matemática;09:10;10:00;Sala 10
Álgebra Linear II;Eliana;Licenciatura em Matemática;10:00;10:50;Sala 10
Álgebra Linear II;Eliana;Licenciatura em Matemática;10:50;11:40;Sala 10
Álgebra Linear II;Eliana;Licenciatura em Matemática;11:40;12:30;Sala 10
Análise Real I;Roque;Licenciatura em Matemática;08:20;09:10;Sala 12
Análise Real I;Roque;Licenciatura em Matemática;09:10;10:00;Sala 12
Análise Real I;Roque;Licenciatura em Matemática;10:00;10:50;Sala 12
Prática em EJA;Gustavo;Licenciatura em Matemática;10:50;11:40;Sala 12
Prática em EJA;Gustavo;Licenciatura em Matemática;11:40;12:30;Sala 12
Tec. Ensino de Matemática;Danton;Licenciatura em Matemática;09:10;10:00;Lab. Mat.
Tec. Ensino de Matemática;Danton;Licenciatura em Matemática;10:00;10:50;Lab. Mat.
Tec. Ensino de Matemática;Danton;Licenciatura em Matemática;10:50;11:40;Lab. Mat.
Tec. Ensino de Matemática;Danton;Licenciatura em Matemática;11:40;12:30;Lab. Mat.
Análise Real II;Roque;Licenciatura em Matemática;13:20;14:10;LAB. FIS
Análise Real II;Roque;Licenciatura em Matemática;14:10;15:00;LAB. FIS
Leitura e Produção de Textos;Edson Santana;Licenciatura em Ciências Biológicas;07:30;08:20;Sala 07
Biologia Celular e Molecular;Dolores Orge;Licenciatura em Ciências Biológicas;08:20;09:10;Sala 07
Biologia Celular e Molecular;Dolores Orge;Licenciatura em Ciências Biológicas;09:10;10:00;Sala 07
Biologia Celular e Molecular;Dolores Orge;Licenciatura em Ciências Biológicas;10:00;10:50;Sala 07
Embriologia e Histologia;Cláudia Leão;Licenciatura em Ciências Biológicas;07:30;08:20;Lab. 02
Embriologia e Histologia;Cláudia Leão;Licenciatura em Ciências Biológicas;08:20;09:10;Lab. 02
Embriologia e Histologia;Cláudia Leão;Licenciatura em Ciências Biológicas;09:10;10:00;Lab. 02
Embriologia e Histologia;Cláudia Leão;Licenciatura em Ciências Biológicas;10:00;10:50;Lab. 02
Fisiologia Animal Comparada;Edson Santana;Licenciatura em Ciências Biológicas;10:50;11:40;Lab. 02
Fisiologia Animal Comparada;Edson Santana;Licenciatura em Ciências Biológicas;11:40;12:30;Lab. 02
Estágio II;Nélia Gonçalves;Licenciatura em Ciências Biológicas;15:40;16:30;Lab. 02
Estágio II;Nélia Gonçalves;Licenciatura em Ciências Biológicas;16:30;17:20;Lab. 02
Estágio II;Nélia Gonçalves;Licenciatura em Ciências Biológicas;17:20;18:10;Lab. 02
Oficina Interdisciplinar I;Marcia Jesus;Licenciatura em Ciências Biológicas;08:20;09:10;Lab. Química
Oficina Interdisciplinar I;Marcia Jesus;Licenciatura em Ciências Biológicas;09:10;10:00;Lab. Química
Palinologia;Marcia Jesus;Licenciatura em Ciências Biológicas;10:50;11:40;Lab. Química
Palinologia;Marcia Jesus;Licenciatura em Ciências Biológicas;11:40;12:30;Lab. Química
Palinologia;Marcia Jesus;Licenciatura em Ciências Biológicas;14:00;14:50;Lab. Química
Didática em Ciências Naturais;Gracinelde Almeida;Licenciatura em Ciências Biológicas;07:30;08:20;Sala 13
Didática em Ciências Naturais;Gracinelde Almeida;Licenciatura em Ciências Biológicas;08:20;09:10;Sala 13
Didática em Ciências Naturais;Gracinelde Almeida;Licenciatura em Ciências Biológicas;09:10;10:00;Sala 13
Didática em Ciências Naturais;Gracinelde Almeida;Licenciatura em Ciências Biológicas;10:00;10:50;Sala 13
Projeto de Pesquisa II;Alexa Coelho;Licenciatura em Ciências Biológicas;07:30;08:20;Lab. 03
Projeto de Pesquisa II;Alexa Coelho;Licenciatura em Ciências Biológicas;08:20;09:10;Lab. 03
Organografia Vegetal;Alicia;Licenciatura em Ciências Biológicas;10:00;10:50;Lab. 03
Organografia Vegetal;Alicia;Licenciatura em Ciências Biológicas;10:50;11:40;Lab. 03
Organografia Vegetal;Alicia;Licenciatura em Ciências Biológicas;11:40;12:30;Lab. 03
Cordados II;Edson Braz;Licenciatura em Ciências Biológicas;08:20;09:10;Lab. 04
Biologia dos Cordados;Iramaia de Satana;Licenciatura em Ciências Biológicas;14:00;14:50;Lab. 04
Biologia dos Cordados;Iramaia de Satana;Licenciatura em Ciências Biológicas;14:50;15:40;Lab. 04
Biologia dos Cordados;Iramaia de Satana;Licenciatura em Ciências Biológicas;15:40;16:30;Lab. 04
Biologia dos Cordados;Iramaia de Satana;Licenciatura em Ciências Biológicas;16:30;17:20;Lab. 04
Biologia dos Cordados;Iramaia de Satana;Licenciatura em Ciências Biológicas;17:20;18:10;Lab. 04
Desenho Técnico;Jefferson;Engenharia Sanitária e Ambiental;18:30;19:20;Sala 5
Desenho Técnico;Jefferson;Engenharia Sanitária e Ambiental;19:20;20:10;Sala 5
Desenho Técnico;Jefferson;Engenharia Sanitária e Ambiental;20:10;21:00;Sala 5
Desenho Técnico;Jefferson;Engenharia Sanitária e Ambiental;21:00;21:50;Sala 5
Computação;Carlos Pinheiro;Engenharia Sanitária e Ambiental;18:30;19:20;LAB INF.
Computação;Carlos Pinheiro;Engenharia Sanitária e Ambiental;19:20;20:10;LAB INF.
Computação;Carlos Pinheiro;Engenharia Sanitária e Ambiental;20:10;21:00;LAB INF.
Computação;Carlos Pinheiro;Engenharia Sanitária e Ambiental;21:00;21:50;LAB INF.
Controle de Poluição das Águas;Elaine;Engenharia Sanitária e Ambiental;18:30;19:20;SALA 03
Controle de Poluição das Águas;Elaine;Engenharia Sanitária e Ambiental;19:20;20:10;SALA 03
Controle de Poluição das Águas;Elaine;Engenharia Sanitária e Ambiental;20:10;21:00;SALA 03
Controle de Poluição das Águas;Elaine;Engenharia Sanitária e Ambiental;21:00;21:50;SALA 03
Controle de Poluição das Águas;Elaine;Engenharia Sanitária e Ambiental;21:50;22:40;LAB I - BIO
Planejamento e Gestão de Recursos Hídricos;Janiara Batista;Engenharia Sanitária e Ambiental;18:30;19:20;LAB I - BIO
Planejamento e Gestão de Recursos Hídricos;Janiara Batista;Engenharia Sanitária e Ambiental;19:20;20:10;LAB I - BIO
Planejamento e Gestão de Recursos Hídricos;Janiara Batista;Engenharia Sanitária e Ambiental;20:10;21:00;LAB I - BIO
Planejamento e Gestão de Recursos Hídricos;Janiara Batista;Engenharia Sanitária e Ambiental;21:00;21:50;LAB I - BIO
Sistema de Esgoto Sanitário;Luísa;Engenharia Sanitária e Ambiental;18:30;19:20;LAB II - BIO
Sistema de Esgoto Sanitário;Luísa;Engenharia Sanitária e Ambiental;19:20;20:10;LAB II - BIO
Sistema de Esgoto Sanitário;Luísa;Engenharia Sanitária e Ambiental;20:10;21:00;LAB II - BIO
Sistema de Esgoto Sanitário;Luísa;Engenharia Sanitária e Ambiental;21:00;21:50;LAB II - BIO
Sistema de Esgoto Sanitário;Luísa;Engenharia Sanitária e Ambiental;21:50;22:40;LAB II - BIO
