disciplina;professor;curso;inicio;fim;sala
Introd. à Engenharia de Software;Larissa Bastos;ENGENHARIA DE SOFTWARE;07:30;08:20;SALA 01
Introd. à Engenharia de Software;Larissa Bastos;ENGENHARIA DE SOFTWARE;08:20;09:10;SALA 01
Introd. à Engenharia de Software;Larissa Bastos;ENGENHARIA DE SOFTWARE;09:10;10:00;SALA 01
Introd. à Engenharia de Software;Larissa Bastos;ENGENHARIA DE SOFTWARE;10:00;10:50;SALA 01
Algoritmo e Lógica de Programação;Ricardo Peres;ENGENHARIA DE SOFTWARE;10:50;11:40;SALA 01
Algoritmo e Lógica de Programação;Ricardo Peres;ENGENHARIA DE SOFTWARE;11:40;12:30;SALA 01
Modelagem de Sist. e Análise deRequisitos;Cleide Bittencourt;ENGENHARIA DE SOFTWARE;07:30;08:20;SALA 04
Modelagem de Sist. e Análise deRequisitos;Cleide Bittencourt;ENGENHARIA DE SOFTWARE;08:20;09:10;SALA 04
Modelagem de Sist. e Análise deRequisitos;Cleide Bittencourt;ENGENHARIA DE SOFTWARE;09:10;10:00;SALA 04
Modelagem de Sist. e Análise deRequisitos;Cleide Bittencourt;ENGENHARIA DE SOFTWARE;10:00;10:50;SALA 04
Projeto de Pesquisa;Ricardo;ENGENHARIA DE SOFTWARE;09:10;10:00;SALA 11
Planej. Estratégico em TI;Ricardo;ENGENHARIA DE SOFTWARE;10:00;10:50;SALA 11
Prática em Desenho Geométrico;Jefferson;Licenciatura em Matemática;07:30;08:20;Sala 05
Prática em Desenho Geométrico;Jefferson;Licenciatura em Matemática;08:20;09:10;Sala 05
T.S.F;Mª Anunciação;Licenciatura em Matemática;09:10;10:00;Sala 05
T.S.F;Mª Anunciação;Licenciatura em Matemática;10:00;10:50;Sala 05
Educação Especial;Mª Anunciação;Licenciatura em Matemática;07:30;08:20;Sala 06
Educação Especial;Mª Anunciação;Licenciatura em Matemática;08:20;09:10;Sala 06
Matemática III;Hercules;Licenciatura em Matemática;09:10;10:00;Sala 06
Matemática III;Hercules;Licenciatura em Matemática;10:00;10:50;Sala 06
Tendências em Educação Matemática;Joalisson;Licenciatura em Matemática;10:50;11:40;Sala 06
Tendências em Educação Matemática;Joalisson;Licenciatura em Matemática;11:40;12:30;Sala 06
Física I;Edielma;Licenciatura em Matemática;07:30;08:20;LAB. FIS
Física I;Edielma;Licenciatura em Matemática;08:20;09:10;LAB. FIS
Estágio III;Joalisson;Licenciatura em Matemática;07:30;08:20;Sala 12
Estágio III;Joalisson;Licenciatura em Matemática;08:20;09:10;Sala 12
Estágio III;Joalisson;Licenciatura em Matemática;09:10;10:00;Sala 12
Desenho Geo. II;Jefferson;Licenciatura em Matemática;09:10;10:00;Sala 08
Desenho Geo. II;Jefferson;Licenciatura em Matemática;10:00;10:50;Sala 08
Leitura e Produção de Textos;Edson;Licenciatura em Ciências Biológicas;07:30;08:20;Sala 07
Leitura e Produção de Textos;Edson;Licenciatura em Ciências Biológicas;08:20;09:10;Sala 07
História e Cultura Afro Brasileira e Indígena;Cooperação/Joesvandro;Licenciatura em Ciências Biológicas;09:10;10:00;Sala 07
História e Cultura Afro Brasileira e Indígena;Cooperação/Joesvandro;Licenciatura em Ciências Biológicas;10:00;10:50;Sala 07
História e Cultura Afro Brasileira e Indígena;Cooperação/Joesvandro;Licenciatura em Ciências Biológicas;10:50;11:40;Sala 07
História e Cultura Afro Brasileira e Indígena;Cooperação/Joesvandro;Licenciatura em Ciências Biológicas;11:40;12:30;Sala 07
Anatomia e Fisiologia Humana;Eduardo;Licenciatura em Ciências Biológicas;07:30;08:20;Lab. Anatomia
Anatomia e Fisiologia Humana;Eduardo;Licenciatura em Ciências Biológicas;08:20;09:10;Lab. Anatomia
Anatomia e Fisiologia Humana;Eduardo;Licenciatura em Ciências Biológicas;09:10;10:00;Lab. Anatomia
Anatomia e Fisiologia Humana;Eduardo;Licenciatura em Ciências Biológicas;10:00;10:50;Lab. Anatomia
Zoonoses Urbanas;Eduardo;Licenciatura em Ciências Biológicas;14:00;14:50;Lab. Anatomia
Zoonoses Urbanas;Eduardo;Licenciatura em Ciências Biológicas;14:50;15:40;Lab. Anatomia
Zoonoses Urbanas;Eduardo;Licenciatura em Ciências Biológicas;15:40;16:30;Lab. Anatomia
Prática Pedagógica em Espaços não Escolares;Geraldo;Licenciatura em Ciências Biológicas;07:30;08:20;Sala 13
Prática Pedagógica em Espaços não Escolares;Geraldo;Licenciatura em Ciências Biológicas;08:20;09:10;Sala 13
Prática Pedagógica em Espaços não Escolares;Geraldo;Licenciatura em Ciências Biológicas;09:10;10:00;Sala 13
PPES II;Geraldo;Licenciatura em Ciências Biológicas;10:00;10:50;Sala 13
PPES II;Geraldo;Licenciatura em Ciências Biológicas;10:50;11:40;Sala 13
PPES II;Geraldo;Licenciatura em Ciências Biológicas;11:40;12:30;Sala 13
Fisiologia Animal Comparada;Edson;Licenciatura em Ciências Biológicas;09:10;10:00;Lab. 04
Fisiologia Animal Comparada;Edson;Licenciatura em Ciências Biológicas;10:00;10:50;Lab. 04
Cordados II;Edson;Licenciatura em Ciências Biológicas;10:50;11:40;Lab. 04
Cordados II;Edson;Licenciatura em Ciências Biológicas;11:40;12:30;Lab. 04
Leitura e Produção de Texto;Elaine;Engenharia Sanitária e Ambiental;18:30;19:20;Sala 5
Leitura e Produção de Texto;Elaine;Engenharia Sanitária e Ambiental;19:20;20:10;Sala 5
Leitura e Produção de Texto;Elaine;Engenharia Sanitária e Ambiental;20:10;21:00;Sala 5
